surrogate key,property,housing
186,life_insurance_or_aggreements,own
187,unknown_or_no_property,for_free
188,car_or_other,for_free
189,life_insurance_or_aggreements,own
190,car_or_other,own
191,life_insurance_or_aggreements,own
192,unknown_or_no_property,for_free
193,car_or_other,own
194,real_estate,rent
195,life_insurance_or_aggreements,rent
196,car_or_other,own
197,car_or_other,own
198,car_or_other,rent
199,unknown_or_no_property,for_free
200,unknown_or_no_property,own
201,car_or_other,own
202,real_estate,own
203,car_or_other,own
204,life_insurance_or_aggreements,rent
205,real_estate,own
206,unknown_or_no_property,for_free
207,real_estate,own
208,life_insurance_or_aggreements,own
209,car_or_other,own
210,life_insurance_or_aggreements,own
211,real_estate,own
212,real_estate,own
213,life_insurance_or_aggreements,own
214,real_estate,own
215,car_or_other,own
216,life_insurance_or_aggreements,own
217,life_insurance_or_aggreements,own
218,real_estate,own
219,real_estate,rent
220,car_or_other,own
221,real_estate,own
222,life_insurance_or_aggreements,rent
223,real_estate,own
224,real_estate,own
225,car_or_other,own
226,car_or_other,own
227,unknown_or_no_property,own
228,unknown_or_no_property,for_free
229,car_or_other,own
230,unknown_or_no_property,for_free
231,car_or_other,own
232,unknown_or_no_property,for_free
233,unknown_or_no_property,own
234,real_estate,own
235,real_estate,own
236,car_or_other,own
237,life_insurance_or_aggreements,own
238,car_or_other,rent
239,life_insurance_or_aggreements,own
240,life_insurance_or_aggreements,own
241,car_or_other,own
242,life_insurance_or_aggreements,own
243,unknown_or_no_property,for_free
244,real_estate,own
245,real_estate,own
246,real_estate,own
247,real_estate,own
248,unknown_or_no_property,rent
249,real_estate,own
250,real_estate,rent
251,real_estate,own
252,car_or_other,own
253,unknown_or_no_property,own
254,life_insurance_or_aggreements,own
255,car_or_other,own
256,real_estate,own
257,real_estate,own
258,unknown_or_no_property,for_free
259,car_or_other,own
260,real_estate,own
261,real_estate,own
262,car_or_other,own
263,unknown_or_no_property,for_free
264,unknown_or_no_property,for_free
265,real_estate,own
266,car_or_other,own
267,real_estate,own
268,car_or_other,own
269,life_insurance_or_aggreements,own
270,car_or_other,own
271,life_insurance_or_aggreements,own
272,car_or_other,rent
273,unknown_or_no_property,for_free
274,real_estate,own
275,unknown_or_no_property,own
276,real_estate,own
277,car_or_other,own
278,life_insurance_or_aggreements,own
279,life_insurance_or_aggreements,own
280,car_or_other,rent
281,unknown_or_no_property,rent
282,real_estate,own
283,car_or_other,own
284,life_insurance_or_aggreements,own
285,car_or_other,own
286,real_estate,own
287,life_insurance_or_aggreements,own
288,unknown_or_no_property,for_free
289,real_estate,own
290,real_estate,own
291,real_estate,own
292,car_or_other,rent
293,unknown_or_no_property,for_free
294,unknown_or_no_property,for_free
295,car_or_other,own
296,car_or_other,own
297,car_or_other,rent
298,life_insurance_or_aggreements,own
299,real_estate,own
300,car_or_other,own
301,real_estate,own
302,car_or_other,own
303,real_estate,own
304,life_insurance_or_aggreements,own
305,unknown_or_no_property,for_free
306,real_estate,own
307,life_insurance_or_aggreements,rent
308,unknown_or_no_property,own
309,real_estate,own
310,real_estate,rent
311,unknown_or_no_property,for_free
312,car_or_other,own
313,car_or_other,own
314,car_or_other,own
315,real_estate,own
316,car_or_other,own
317,life_insurance_or_aggreements,own
318,life_insurance_or_aggreements,own
319,car_or_other,own
320,life_insurance_or_aggreements,own
321,car_or_other,own
322,life_insurance_or_aggreements,own
323,unknown_or_no_property,for_free
324,car_or_other,own
325,real_estate,own
326,real_estate,own
327,life_insurance_or_aggreements,rent
328,car_or_other,own
329,car_or_other,own
330,car_or_other,own
331,unknown_or_no_property,for_free
332,real_estate,own
333,life_insurance_or_aggreements,own
334,car_or_other,rent
335,unknown_or_no_property,rent
336,real_estate,rent
337,life_insurance_or_aggreements,own
338,car_or_other,rent
339,life_insurance_or_aggreements,own
340,car_or_other,own
341,unknown_or_no_property,for_free
342,car_or_other,rent
343,real_estate,rent
344,real_estate,own
345,life_insurance_or_aggreements,own
346,car_or_other,own
347,real_estate,own
348,unknown_or_no_property,rent
349,real_estate,own
350,unknown_or_no_property,for_free
351,real_estate,rent
352,car_or_other,own
353,unknown_or_no_property,own
354,life_insurance_or_aggreements,rent
355,unknown_or_no_property,for_free
356,real_estate,own
357,real_estate,own
358,car_or_other,own
359,real_estate,own
360,real_estate,rent
361,unknown_or_no_property,for_free
362,car_or_other,own
363,car_or_other,own
364,life_insurance_or_aggreements,rent
365,car_or_other,own
366,car_or_other,own
367,car_or_other,own
368,car_or_other,rent
369,car_or_other,own
370,real_estate,rent
371,real_estate,own
372,car_or_other,own
373,real_estate,rent
374,unknown_or_no_property,for_free
375,unknown_or_no_property,for_free
376,car_or_other,rent
377,real_estate,own
378,unknown_or_no_property,for_free
379,unknown_or_no_property,for_free
380,car_or_other,own
381,car_or_other,own
382,unknown_or_no_property,for_free
383,life_insurance_or_aggreements,rent
384,real_estate,own
385,life_insurance_or_aggreements,own
386,car_or_other,own
387,real_estate,rent
388,life_insurance_or_aggreements,own
389,car_or_other,own
390,car_or_other,own
391,life_insurance_or_aggreements,own
392,real_estate,rent
393,unknown_or_no_property,for_free
394,car_or_other,own
395,car_or_other,own
396,unknown_or_no_property,rent
397,unknown_or_no_property,for_free
398,life_insurance_or_aggreements,own
399,real_estate,rent
400,real_estate,own
401,real_estate,own
402,real_estate,own
403,car_or_other,own
404,car_or_other,own
405,car_or_other,own
406,life_insurance_or_aggreements,own
407,car_or_other,own
408,real_estate,own
409,car_or_other,own
410,real_estate,own
411,car_or_other,own
412,car_or_other,own
413,car_or_other,own
414,unknown_or_no_property,rent
415,life_insurance_or_aggreements,own
416,life_insurance_or_aggreements,own
417,real_estate,own
418,car_or_other,rent
419,car_or_other,own
420,life_insurance_or_aggreements,own
421,car_or_other,rent
422,car_or_other,own
423,real_estate,own
424,real_estate,own
425,life_insurance_or_aggreements,own
426,car_or_other,rent
427,car_or_other,own
428,real_estate,own
429,car_or_other,own
430,unknown_or_no_property,for_free
431,real_estate,own
432,car_or_other,own
433,unknown_or_no_property,for_free
434,real_estate,own
435,real_estate,own
436,real_estate,own
437,real_estate,rent
438,real_estate,own
439,car_or_other,own
440,real_estate,own
441,car_or_other,own
442,life_insurance_or_aggreements,own
443,car_or_other,own
444,car_or_other,own
445,car_or_other,own
446,life_insurance_or_aggreements,rent
447,car_or_other,own
448,real_estate,own
449,real_estate,own
450,life_insurance_or_aggreements,own
451,car_or_other,own
452,real_estate,own
453,life_insurance_or_aggreements,own
454,car_or_other,own
455,life_insurance_or_aggreements,own
456,unknown_or_no_property,own
457,real_estate,rent
458,unknown_or_no_property,for_free
459,real_estate,own
460,car_or_other,own
461,life_insurance_or_aggreements,own
462,real_estate,own
463,real_estate,rent
464,life_insurance_or_aggreements,own
465,car_or_other,own
466,unknown_or_no_property,own
467,car_or_other,rent
468,car_or_other,own
469,car_or_other,own
470,car_or_other,own
471,car_or_other,rent
472,life_insurance_or_aggreements,own
473,car_or_other,own
474,life_insurance_or_aggreements,own
475,car_or_other,own
476,life_insurance_or_aggreements,rent
477,car_or_other,own
478,car_or_other,own
479,real_estate,own
480,car_or_other,own
481,real_estate,own
482,life_insurance_or_aggreements,own
483,life_insurance_or_aggreements,rent
484,life_insurance_or_aggreements,own
485,real_estate,own
486,life_insurance_or_aggreements,own
487,car_or_other,own
488,unknown_or_no_property,for_free
489,real_estate,rent
490,life_insurance_or_aggreements,rent
491,unknown_or_no_property,own
492,unknown_or_no_property,for_free
493,life_insurance_or_aggreements,own
494,life_insurance_or_aggreements,own
495,real_estate,rent
496,car_or_other,own
497,unknown_or_no_property,rent
498,life_insurance_or_aggreements,own
499,real_estate,own
500,car_or_other,own
501,life_insurance_or_aggreements,own
502,unknown_or_no_property,for_free
503,real_estate,own
504,unknown_or_no_property,own
505,life_insurance_or_aggreements,rent
506,life_insurance_or_aggreements,own
507,car_or_other,own
508,life_insurance_or_aggreements,own
509,life_insurance_or_aggreements,own
510,car_or_other,own
511,real_estate,own
512,unknown_or_no_property,for_free
513,life_insurance_or_aggreements,rent
514,real_estate,rent
515,life_insurance_or_aggreements,own
516,life_insurance_or_aggreements,own
517,real_estate,own
518,life_insurance_or_aggreements,rent
519,life_insurance_or_aggreements,own
520,unknown_or_no_property,for_free
521,unknown_or_no_property,for_free
522,real_estate,own
523,unknown_or_no_property,for_free
524,car_or_other,own
525,real_estate,own
526,car_or_other,own
527,car_or_other,own
528,real_estate,own
529,car_or_other,rent
530,real_estate,own
531,car_or_other,own
532,car_or_other,rent
533,real_estate,rent
534,life_insurance_or_aggreements,own
535,car_or_other,own
536,car_or_other,rent
537,life_insurance_or_aggreements,own
538,life_insurance_or_aggreements,own
539,unknown_or_no_property,for_free
540,life_insurance_or_aggreements,own
541,real_estate,rent
542,unknown_or_no_property,for_free
543,life_insurance_or_aggreements,own
544,real_estate,own
545,real_estate,own
546,real_estate,for_free
547,car_or_other,own
548,car_or_other,own
549,real_estate,own
550,unknown_or_no_property,for_free
551,real_estate,own
552,life_insurance_or_aggreements,own
553,real_estate,own
554,car_or_other,own
555,life_insurance_or_aggreements,own
556,car_or_other,own
557,car_or_other,own
558,life_insurance_or_aggreements,own
559,car_or_other,own
560,real_estate,own
561,unknown_or_no_property,for_free
562,car_or_other,rent
563,life_insurance_or_aggreements,own
564,unknown_or_no_property,for_free
565,life_insurance_or_aggreements,own
566,life_insurance_or_aggreements,rent
567,car_or_other,own
568,car_or_other,own
569,car_or_other,own
570,car_or_other,own
571,real_estate,rent
572,car_or_other,own
573,life_insurance_or_aggreements,rent
574,life_insurance_or_aggreements,own
575,car_or_other,own
576,car_or_other,own
577,real_estate,own
578,car_or_other,own
579,car_or_other,own
580,car_or_other,own
581,real_estate,own
582,real_estate,own
583,real_estate,rent
584,unknown_or_no_property,rent
585,unknown_or_no_property,for_free
586,real_estate,rent
587,real_estate,rent
588,life_insurance_or_aggreements,own
589,real_estate,own
590,life_insurance_or_aggreements,own
591,real_estate,own
592,car_or_other,rent
593,real_estate,own
594,life_insurance_or_aggreements,rent
595,car_or_other,own
596,life_insurance_or_aggreements,own
597,car_or_other,rent
598,real_estate,own
599,life_insurance_or_aggreements,own
600,unknown_or_no_property,for_free
601,real_estate,own
602,life_insurance_or_aggreements,own
603,unknown_or_no_property,for_free
604,car_or_other,own
605,life_insurance_or_aggreements,own
606,real_estate,own
607,real_estate,own
608,unknown_or_no_property,for_free
609,real_estate,own
610,unknown_or_no_property,for_free
611,life_insurance_or_aggreements,own
612,unknown_or_no_property,for_free
613,car_or_other,own
614,car_or_other,rent
615,real_estate,own
616,car_or_other,own
617,unknown_or_no_property,for_free
618,real_estate,rent
619,car_or_other,rent
620,real_estate,own
621,life_insurance_or_aggreements,own
622,life_insurance_or_aggreements,own
623,real_estate,own
624,car_or_other,rent
625,unknown_or_no_property,for_free
626,car_or_other,own
627,real_estate,own
628,unknown_or_no_property,own
629,real_estate,own
630,real_estate,own
631,car_or_other,own
632,car_or_other,own
633,life_insurance_or_aggreements,own
634,car_or_other,rent
635,car_or_other,own
636,life_insurance_or_aggreements,own
637,car_or_other,own
638,car_or_other,own
639,car_or_other,own
640,life_insurance_or_aggreements,own
641,real_estate,own
642,car_or_other,own
643,life_insurance_or_aggreements,own
644,car_or_other,own
645,life_insurance_or_aggreements,own
646,car_or_other,rent
647,real_estate,own
648,life_insurance_or_aggreements,own
649,unknown_or_no_property,for_free
650,car_or_other,rent
651,unknown_or_no_property,for_free
652,life_insurance_or_aggreements,own
653,real_estate,own
654,car_or_other,own
655,car_or_other,own
656,unknown_or_no_property,for_free
657,car_or_other,own
658,car_or_other,own
659,car_or_other,own
660,unknown_or_no_property,own
661,real_estate,rent
662,car_or_other,own
663,real_estate,own
664,life_insurance_or_aggreements,own
665,life_insurance_or_aggreements,own
666,unknown_or_no_property,own
667,car_or_other,own
668,real_estate,own
669,life_insurance_or_aggreements,rent
670,life_insurance_or_aggreements,own
671,life_insurance_or_aggreements,own
672,car_or_other,own
673,life_insurance_or_aggreements,own
674,car_or_other,own
675,real_estate,own
676,car_or_other,rent
677,car_or_other,own
678,car_or_other,own
679,real_estate,rent
680,real_estate,own
681,unknown_or_no_property,own
682,unknown_or_no_property,for_free
683,real_estate,own
684,unknown_or_no_property,for_free
685,life_insurance_or_aggreements,own
686,unknown_or_no_property,for_free
687,life_insurance_or_aggreements,own
688,unknown_or_no_property,for_free
689,car_or_other,own
690,life_insurance_or_aggreements,own
691,life_insurance_or_aggreements,own
692,real_estate,own
693,car_or_other,own
694,real_estate,own
695,car_or_other,own
696,life_insurance_or_aggreements,rent
697,real_estate,own
698,life_insurance_or_aggreements,own
699,car_or_other,own
700,car_or_other,rent
701,car_or_other,rent
702,unknown_or_no_property,for_free
703,unknown_or_no_property,for_free
704,life_insurance_or_aggreements,own
705,life_insurance_or_aggreements,own
706,unknown_or_no_property,for_free
707,life_insurance_or_aggreements,own
708,life_insurance_or_aggreements,rent
709,real_estate,own
710,real_estate,own
711,life_insurance_or_aggreements,own
712,unknown_or_no_property,for_free
713,real_estate,own
714,real_estate,own
715,unknown_or_no_property,own
716,car_or_other,own
717,car_or_other,own
718,unknown_or_no_property,for_free
719,car_or_other,own
720,car_or_other,own
721,car_or_other,own
722,life_insurance_or_aggreements,rent
723,real_estate,own
724,real_estate,own
725,real_estate,rent
726,real_estate,own
727,life_insurance_or_aggreements,own
728,car_or_other,rent
729,unknown_or_no_property,rent
730,real_estate,own
731,car_or_other,own
732,real_estate,rent
733,real_estate,own
734,car_or_other,rent
735,real_estate,own
736,unknown_or_no_property,own
737,car_or_other,rent
738,car_or_other,own
739,unknown_or_no_property,own
740,car_or_other,rent
741,car_or_other,own
742,real_estate,own
743,life_insurance_or_aggreements,own
744,real_estate,own
745,life_insurance_or_aggreements,own
746,life_insurance_or_aggreements,own
747,car_or_other,rent
748,real_estate,own
749,car_or_other,own
750,car_or_other,own
751,life_insurance_or_aggreements,own
752,car_or_other,own
753,real_estate,rent
754,car_or_other,own
755,unknown_or_no_property,for_free
756,unknown_or_no_property,rent
757,real_estate,own
758,unknown_or_no_property,for_free
759,real_estate,own
760,life_insurance_or_aggreements,own
761,car_or_other,own
762,real_estate,rent
763,life_insurance_or_aggreements,own
764,unknown_or_no_property,for_free
765,life_insurance_or_aggreements,own
766,real_estate,own
767,life_insurance_or_aggreements,own
768,real_estate,rent
769,car_or_other,rent
770,real_estate,own
771,real_estate,rent
772,unknown_or_no_property,own
773,car_or_other,own
774,life_insurance_or_aggreements,own
775,unknown_or_no_property,for_free
776,real_estate,rent
777,car_or_other,own
778,real_estate,own
779,car_or_other,own
780,car_or_other,own
781,real_estate,own
782,real_estate,own
783,real_estate,own
784,life_insurance_or_aggreements,own
785,real_estate,own
786,life_insurance_or_aggreements,own
787,car_or_other,own
788,car_or_other,own
789,unknown_or_no_property,for_free
790,unknown_or_no_property,own
791,life_insurance_or_aggreements,own
792,car_or_other,own
793,life_insurance_or_aggreements,own
794,unknown_or_no_property,for_free
795,unknown_or_no_property,rent
796,life_insurance_or_aggreements,rent
797,life_insurance_or_aggreements,for_free
798,life_insurance_or_aggreements,rent
799,car_or_other,own
800,real_estate,own
801,unknown_or_no_property,for_free
802,real_estate,rent
803,life_insurance_or_aggreements,own
804,car_or_other,own
805,real_estate,rent
806,car_or_other,own
807,real_estate,own
808,real_estate,own
809,unknown_or_no_property,for_free
810,real_estate,rent
811,real_estate,own
812,real_estate,own
813,car_or_other,own
814,car_or_other,own
815,unknown_or_no_property,for_free
816,life_insurance_or_aggreements,rent
817,real_estate,own
818,car_or_other,rent
819,car_or_other,own
820,real_estate,own
821,real_estate,own
822,car_or_other,own
823,life_insurance_or_aggreements,own
824,real_estate,own
825,car_or_other,own
826,car_or_other,own
827,real_estate,rent
828,car_or_other,own
829,unknown_or_no_property,for_free
830,unknown_or_no_property,for_free
831,car_or_other,own
832,car_or_other,rent
833,car_or_other,rent
834,car_or_other,own
835,real_estate,own
836,car_or_other,own
837,car_or_other,own
838,real_estate,rent
839,life_insurance_or_aggreements,own
840,real_estate,own
841,life_insurance_or_aggreements,own
842,real_estate,own
843,real_estate,own
844,car_or_other,own
845,life_insurance_or_aggreements,own
846,car_or_other,own
847,car_or_other,rent
848,real_estate,own
849,real_estate,own
850,real_estate,own
851,life_insurance_or_aggreements,rent
852,life_insurance_or_aggreements,own
853,unknown_or_no_property,for_free
854,unknown_or_no_property,for_free
855,car_or_other,own
856,real_estate,own
857,life_insurance_or_aggreements,own
858,unknown_or_no_property,for_free
859,life_insurance_or_aggreements,own
860,real_estate,rent
861,real_estate,own
862,car_or_other,own
863,real_estate,own
864,real_estate,own
865,real_estate,rent
866,car_or_other,rent
867,car_or_other,own
868,life_insurance_or_aggreements,own
869,life_insurance_or_aggreements,own
870,life_insurance_or_aggreements,rent
871,car_or_other,own
872,real_estate,own
873,real_estate,own
874,real_estate,own
875,life_insurance_or_aggreements,own
876,car_or_other,own
877,unknown_or_no_property,for_free
878,car_or_other,own
879,unknown_or_no_property,for_free
880,life_insurance_or_aggreements,own
881,car_or_other,own
882,unknown_or_no_property,for_free
883,real_estate,own
884,car_or_other,own
885,car_or_other,own
886,life_insurance_or_aggreements,own
887,unknown_or_no_property,own
888,car_or_other,own
889,car_or_other,own
890,real_estate,rent
891,car_or_other,own
892,car_or_other,own
893,life_insurance_or_aggreements,own
894,car_or_other,own
895,life_insurance_or_aggreements,own
896,car_or_other,own
897,life_insurance_or_aggreements,rent
898,life_insurance_or_aggreements,own
899,real_estate,rent
900,car_or_other,own
901,life_insurance_or_aggreements,rent
902,real_estate,own
903,unknown_or_no_property,for_free
904,real_estate,rent
905,real_estate,own
906,real_estate,rent
907,real_estate,own
908,car_or_other,own
909,life_insurance_or_aggreements,own
910,real_estate,own
911,real_estate,own
912,car_or_other,own
913,car_or_other,own
914,real_estate,own
915,life_insurance_or_aggreements,rent
916,life_insurance_or_aggreements,own
917,real_estate,own
918,unknown_or_no_property,own
919,life_insurance_or_aggreements,own
920,life_insurance_or_aggreements,rent
921,unknown_or_no_property,own
922,car_or_other,own
923,life_insurance_or_aggreements,rent
924,life_insurance_or_aggreements,rent
925,life_insurance_or_aggreements,own
926,car_or_other,own
927,life_insurance_or_aggreements,rent
928,unknown_or_no_property,for_free
929,car_or_other,own
930,real_estate,own
931,life_insurance_or_aggreements,own
932,car_or_other,own
933,real_estate,own
934,life_insurance_or_aggreements,own
935,car_or_other,own
936,unknown_or_no_property,own
937,real_estate,own
938,car_or_other,rent
939,unknown_or_no_property,for_free
940,life_insurance_or_aggreements,own
941,life_insurance_or_aggreements,own
942,real_estate,own
943,car_or_other,own
944,real_estate,own
945,life_insurance_or_aggreements,rent
946,car_or_other,own
947,unknown_or_no_property,for_free
948,unknown_or_no_property,own
949,life_insurance_or_aggreements,own
950,car_or_other,own
951,car_or_other,own
952,car_or_other,own
953,car_or_other,rent
954,car_or_other,own
955,life_insurance_or_aggreements,own
956,life_insurance_or_aggreements,rent
957,life_insurance_or_aggreements,own
958,real_estate,own
959,car_or_other,own
960,unknown_or_no_property,for_free
961,real_estate,rent
962,life_insurance_or_aggreements,own
963,unknown_or_no_property,own
964,car_or_other,own
965,life_insurance_or_aggreements,own
966,car_or_other,own
967,life_insurance_or_aggreements,own
968,car_or_other,rent
969,life_insurance_or_aggreements,rent
970,real_estate,own
971,real_estate,own
972,life_insurance_or_aggreements,own
973,unknown_or_no_property,rent
974,unknown_or_no_property,rent
975,car_or_other,own
976,car_or_other,own
977,real_estate,own
978,life_insurance_or_aggreements,own
979,car_or_other,own
980,life_insurance_or_aggreements,rent
981,life_insurance_or_aggreements,own
982,car_or_other,rent
983,car_or_other,own
984,life_insurance_or_aggreements,own
985,life_insurance_or_aggreements,own
986,life_insurance_or_aggreements,rent
987,life_insurance_or_aggreements,own
988,real_estate,own
989,unknown_or_no_property,for_free
990,life_insurance_or_aggreements,own
991,life_insurance_or_aggreements,own
992,car_or_other,own
993,car_or_other,rent
994,life_insurance_or_aggreements,own
995,car_or_other,own
996,real_estate,own
997,life_insurance_or_aggreements,own
998,car_or_other,own
999,unknown_or_no_property,for_free
1000,car_or_other,own
